allInPings,assistMePings,assists,baitPings,baronKills,basicPings,bountyLevel,champExperience,champLevel,championId,championName,championTransform,commandPings,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,dangerPings,deaths,detectorWardsPlaced,doubleKills,dragonKills,eligibleForProgression,enemyMissingPings,enemyVisionPings,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,gameEndedInEarlySurrender,gameEndedInSurrender,getBackPings,goldEarned,goldSpent,holdPings,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,needVisionPings,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,onMyWayPings,participantId,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,profileIcon,pushPings,quadraKills,role,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerLevel,summonerName,teamEarlySurrendered,teamId,teamPosition,timeCCingOthers,timePlayed,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionClearedPings,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,matchID
4,24,10,0,0,0,0,11459,14,82,Mordekaiser,0,10,6,1918,27795,1918,39484,0,8,3,0,1,True,11,0,False,False,False,False,False,False,8,11327,10750,1,JUNGLE,0,0,3,2421,3047,3191,4633,3116,3076,3364,19,2,5,JUNGLE,3,2,1,502,120213,17510,17985,0,116,0,1,0,0,0,19,2,0,22627,2482,19777,546,0,0,NONE,0,138,49,65,9,6,6,14,11,70,slayer56429,False,100,JUNGLE,24,1867,176875,22244,0,38921,6145,0,29,477,251,1,0,34034,2251,1158,0,2,9,0,0,25,4,2,4,False,NA1_4496541649
0,24,11,0,1,0,7,21950,18,102,Shyvana,0,4,7,1054,34336,1054,83250,0,5,5,2,3,True,7,0,True,False,False,False,False,False,13,18821,19145,0,JUNGLE,0,1,0,6662,3111,3075,3153,4401,3156,3364,27,3,13,JUNGLE,31,7,2,1034,144322,15811,19214,0,175,1,0,1,0,0,26,7,0,109606,19197,18383,546,0,0,NONE,0,162,128,89,15,6,6,21,11,70,slayer56429,False,200,JUNGLE,13,2172,291935,36807,0,40760,5025,0,56,1277,132,1,0,38008,1798,3162,1,1,4,0,0,22,5,4,6,True,NA1_4496506822
1,18,10,1,1,0,0,12298,14,154,Zac,0,13,9,410,30036,410,50997,0,2,7,0,1,True,3,1,False,False,False,False,False,False,16,11577,11000,0,JUNGLE,0,0,1,3047,6665,3068,4637,2055,0,3364,24,1,6,JUNGLE,0,5,1,1306,100926,15637,6403,0,114,0,1,0,0,0,17,7,0,19826,1120,17542,546,0,0,NONE,0,63,224,100,10,2,4,14,11,70,slayer56429,False,200,JUNGLE,47,1912,160276,18587,0,27480,29194,565,15,459,61,5,0,39523,1829,3535,1,1,8,0,0,35,8,5,8,False,NA1_4496460337
2,3,18,0,2,0,0,17737,17,56,Nocturne,0,11,10,6250,53209,6250,28658,0,1,9,0,2,True,3,2,False,False,False,True,False,False,18,14296,11675,0,JUNGLE,2,2,0,6696,3006,6333,0,6692,0,3340,21,1,4,JUNGLE,0,4,1,1191,4151,1500,7722,0,162,1,0,1,0,0,12,2,0,211651,14840,19818,546,0,0,NONE,0,123,22,42,20,2,4,15,11,70,slayer56429,False,100,JUNGLE,161,1847,259603,17375,0,30461,12875,0,47,518,41,1,0,43800,1034,2920,3,5,3,0,3,44,9,2,19,True,NA1_4496416370
1,26,6,0,0,0,0,10683,13,154,Zac,0,9,7,1000,44655,1000,28385,0,3,5,1,2,True,6,5,False,False,False,True,False,True,7,9940,9850,0,JUNGLE,0,2,0,4637,3111,2055,1031,6665,6660,3364,27,2,6,JUNGLE,0,4,2,761,74883,8671,8831,0,88,0,0,0,1,0,17,2,0,18364,748,16350,546,0,0,NONE,0,49,179,75,6,3,4,12,11,70,slayer56429,False,100,JUNGLE,31,1584,131543,10268,0,29800,26691,178,15,374,55,5,0,38295,848,4619,1,4,0,0,0,30,6,6,6,True,NA1_4496386137
0,19,10,0,1,0,0,12861,14,82,Mordekaiser,0,6,7,3056,56235,3056,33843,0,3,4,1,2,True,5,1,False,False,False,False,False,False,18,12865,11100,0,JUNGLE,0,0,0,4637,3111,2055,1033,3116,6662,3364,21,2,9,JUNGLE,0,7,2,795,128328,15575,14769,0,112,0,0,0,0,0,36,2,0,26025,3368,15774,546,0,0,NONE,0,128,26,63,6,4,6,13,11,70,slayer56429,False,100,JUNGLE,24,1769,189872,19460,0,31039,9304,0,39,897,85,1,0,35517,515,496,1,1,2,0,2,31,6,4,4,True,NA1_4496339637
0,7,13,1,0,0,0,12556,14,56,Nocturne,0,5,4,3441,26988,3441,23879,0,5,2,0,1,True,10,0,False,False,False,False,False,False,20,12697,12075,0,JUNGLE,0,0,1,6693,3075,2055,3006,6696,3035,3364,23,1,5,JUNGLE,17,4,1,945,7028,1831,7419,0,147,0,1,0,0,0,8,7,0,174332,13694,23284,546,0,0,NONE,0,92,21,35,18,2,4,10,11,70,slayer56429,False,200,JUNGLE,152,1873,212968,16837,0,31805,5128,0,36,505,211,1,0,31606,1311,1101,1,3,7,0,0,17,3,3,3,False,NA1_4496300647
0,0,0,0,0,0,0,320,2,82,Mordekaiser,0,0,1,0,0,0,221,0,0,0,0,0,False,0,0,False,False,False,False,True,False,5,595,500,0,JUNGLE,0,0,0,1102,2003,0,0,0,0,3364,4,0,0,NONE,0,0,0,0,689,0,0,0,4,0,0,0,0,0,0,7,0,671,0,516,546,0,0,SUPPORT,0,2,0,0,0,0,6,1,11,70,slayer56429,True,200,JUNGLE,0,114,2301,0,0,516,0,0,0,0,0,0,0,941,0,0,0,0,0,0,0,1,0,0,1,False,NA1_4496286702
0,14,7,0,0,0,2,16859,17,82,Mordekaiser,0,1,4,674,46491,674,49486,0,5,3,1,5,True,3,0,True,False,False,False,False,True,20,14561,13325,0,JUNGLE,1,1,0,6662,3111,4637,3116,4401,0,3364,23,2,7,JUNGLE,0,5,2,750,177281,14722,20685,0,156,0,0,0,0,0,10,7,0,32871,3300,20706,546,0,0,NONE,0,142,46,73,8,7,6,16,11,70,slayer56429,False,200,JUNGLE,21,2232,260700,19144,0,43600,7650,0,53,1333,162,1,0,50546,1120,2209,0,2,5,0,0,28,3,4,4,True,NA1_4496219309
0,5,6,0,0,0,0,13777,15,9,FiddleSticks,0,15,4,1093,7394,1093,27012,0,5,1,0,1,True,6,1,False,False,False,False,False,False,29,12494,12175,0,JUNGLE,0,0,2,3157,3152,2055,1058,3135,3020,3330,14,1,5,JUNGLE,0,2,1,1084,117942,17003,12596,0,112,0,1,0,0,0,10,2,0,11532,376,21310,546,0,0,NONE,0,39,126,91,7,3,4,17,11,69,slayer56429,False,100,JUNGLE,50,1996,163665,18742,0,36128,7539,0,53,1054,173,1,0,34189,1361,2221,0,1,10,0,0,33,3,2,1,False,NA1_4496192924
