allInPings,assistMePings,assists,baitPings,baronKills,basicPings,bountyLevel,champExperience,champLevel,championId,championName,championTransform,commandPings,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,dangerPings,deaths,detectorWardsPlaced,doubleKills,dragonKills,eligibleForProgression,enemyMissingPings,enemyVisionPings,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,gameEndedInEarlySurrender,gameEndedInSurrender,getBackPings,goldEarned,goldSpent,holdPings,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,needVisionPings,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,onMyWayPings,participantId,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,profileIcon,pushPings,quadraKills,role,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerLevel,summonerName,teamEarlySurrendered,teamId,teamPosition,timeCCingOthers,timePlayed,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionClearedPings,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,matchID
1,0,4,0,0,0,0,15647,16,80,Pantheon,0,2,4,8730,11437,8730,22704,0,2,0,1,0,True,8,0,False,False,False,True,False,False,2,12846,12375,0,TOP,0,1,0,3071,6692,3047,3153,3133,0,3340,20,2,10,TOP,0,8,3,1170,3650,265,5288,0,8,0,0,1,0,0,6,1,0,133028,24796,13032,5435,0,0,SOLO,0,106,27,35,6,4,14,4,4,116,Weatherneck,False,100,TOP,27,1565,140211,25753,0,19820,3409,0,185,37,92,1,1,3532,692,1498,3,5,0,0,0,13,1,0,0,True,NA1_4573529727
0,0,5,0,0,0,4,15634,16,55,Katarina,0,0,3,5614,5614,5614,13260,0,5,0,2,0,True,0,0,False,False,False,False,False,False,0,13045,8800,0,MIDDLE,1,1,0,6632,3115,3020,1058,0,0,3340,16,2,11,MIDDLE,0,4,3,507,114556,19483,8066,0,12,0,0,1,0,0,0,3,0,39964,7668,11633,907,0,0,SOLO,0,78,54,0,8,0,12,2,4,37,Fr0zenLotus,False,100,MIDDLE,0,1565,157126,27151,0,20861,5250,0,179,0,170,1,1,2605,0,1161,2,4,0,0,0,11,0,1,0,True,NA1_4573529727
0,2,8,0,0,0,0,12320,14,30,Karthus,0,14,8,4164,23447,4164,7880,0,4,0,0,1,True,0,2,False,True,False,False,False,False,0,11885,11950,0,BOTTOM,1,1,0,1082,3020,3089,6653,4645,0,3340,29,1,7,BOTTOM,0,5,1,604,129605,21094,4384,0,15,0,0,0,0,0,0,4,0,5950,238,8806,937,0,0,CARRY,0,346,16,79,6,3,4,5,3,72,Synthkillz,False,100,BOTTOM,10,1565,136305,21884,0,14360,1129,0,165,122,61,1,0,749,552,1170,1,1,0,0,0,20,2,1,0,True,NA1_4573529727
0,0,18,0,0,0,1,9981,13,53,Blitzcrank,0,1,6,786,1384,786,17691,0,4,0,0,0,True,0,0,True,False,False,False,False,False,0,8240,7200,0,UTILITY,0,1,0,3860,3117,3190,3109,1029,1029,3340,22,0,2,BOTTOM,0,0,1,364,12799,3059,7876,0,0,0,0,1,0,0,0,5,0,8601,1607,7509,1627,0,0,SUPPORT,0,15,38,23,11,5,14,5,4,177,keminaru,False,100,UTILITY,26,1565,27287,5501,752,16683,762,0,38,202,95,1,0,5886,834,1298,0,1,0,0,0,52,4,3,0,True,NA1_4573529727
0,0,1,0,0,0,0,11997,14,240,Kled,0,2,1,1784,4600,1784,18892,0,8,0,0,0,True,1,0,False,False,False,False,False,False,0,8186,7200,0,TOP,0,0,2,1055,3074,3047,3134,3133,0,3340,15,0,2,TOP,0,0,1,566,0,0,9079,0,12,0,1,0,0,0,0,6,0,90328,8726,19071,4860,0,0,SOLO,0,71,0,35,5,5,14,4,4,234,Its Mr Al,False,200,TOP,4,1565,93684,9362,0,28891,3283,0,138,60,235,1,0,3356,636,740,0,0,11,0,0,10,0,0,0,False,NA1_4573529727
0,1,2,0,0,0,0,9403,12,32,Amumu,0,1,3,0,15815,0,21674,0,6,0,0,1,True,4,0,False,False,False,False,False,False,0,8530,8300,1,JUNGLE,0,0,2,6665,3047,0,4637,0,1082,3364,17,2,4,JUNGLE,0,2,1,652,83039,11307,9607,0,93,0,1,0,0,0,5,7,0,15870,759,20510,4955,0,0,NONE,0,59,85,113,7,5,14,15,11,200,Jondini,False,200,JUNGLE,33,1565,137926,14712,0,31113,9790,0,16,150,165,1,0,39016,2645,995,0,0,11,0,0,14,2,1,0,False,NA1_4573529727
0,0,2,0,0,0,0,11496,14,131,Diana,0,0,2,0,4562,0,24554,0,7,0,0,0,True,1,0,False,False,False,False,False,False,0,8206,8200,0,MIDDLE,0,0,2,6665,4637,3020,1028,1029,0,3340,16,2,5,MIDDLE,0,2,1,314,63070,8045,10322,0,1,0,1,0,0,0,0,8,0,12504,1645,11731,1213,0,0,SOLO,0,80,38,43,8,6,14,6,4,121,fenyexiu,False,200,MIDDLE,5,1565,80840,10505,0,22922,874,0,114,41,225,1,0,5266,814,868,0,0,11,0,0,6,0,0,0,False,NA1_4573529727
0,0,4,0,0,0,0,8948,12,21,MissFortune,0,2,6,0,0,0,5443,0,8,0,0,0,True,14,0,False,False,False,False,False,False,0,8337,8800,1,BOTTOM,0,0,2,3070,2003,0,0,0,0,3340,23,0,3,BOTTOM,552,0,1,349,2016,599,11286,0,4,0,1,0,0,0,0,9,0,72126,11081,5713,5411,0,0,CARRY,0,74,31,18,4,4,7,4,4,251,DiamondsEve,False,200,BOTTOM,4,1565,78232,12269,0,17597,3003,355,149,69,203,3,0,4089,588,596,0,0,11,0,0,13,0,1,0,False,NA1_4573529727
0,1,7,0,0,0,0,6904,10,35,Shaco,0,3,3,0,704,0,6201,0,9,0,0,0,True,1,3,False,False,False,False,False,False,0,6134,5560,0,UTILITY,0,0,2,3853,6653,1052,0,3158,1028,3364,14,0,1,BOTTOM,0,0,1,371,17811,9008,8360,1,0,0,1,0,0,0,0,10,0,1724,990,7980,4419,0,0,SUPPORT,0,29,40,30,70,4,4,6,14,217,RoundTwoGL,False,200,UTILITY,25,1565,21029,11419,0,16633,0,0,15,214,224,0,0,1493,1419,292,0,0,11,0,0,33,1,1,0,False,NA1_4573529727
0,2,5,0,0,0,3,15028,16,516,Ornn,0,2,4,3381,4175,3381,21105,0,1,0,1,0,True,6,0,False,False,False,False,False,True,0,9647,8475,0,TOP,0,0,0,1054,7026,3075,3111,1057,2055,3340,19,1,4,TOP,35,3,2,248,44421,4656,5063,0,4,0,0,0,0,0,5,1,0,61848,2547,10358,23,1,0,DUO,0,63,57,33,10,3,12,3,4,347,PickinPockets,False,100,TOP,20,1536,116689,7204,0,15705,1448,0,165,576,12,1,0,10420,0,283,0,1,3,0,0,22,3,1,0,True,NA1_4573491685
